Active Velocity,Angular diffusion coefficient,Average energy per patch
0.630957,100,0.284453
1,0.01,0.250174
1,0.0158489,0.250182
1,0.0251189,0.25019
1,0.0398107,0.250187
1,0.0630957,0.250178
1,0.1,0.250178
1,0.158489,0.250167
1,0.251189,0.250205
1,0.398107,0.250217
1,0.630957,0.25025
1,1,0.250344
1,1.58489,0.24996
1,2.51189,0.249676
1,3.98107,0.250334
1,6.30957,0.250361
1,10,0.250648
1,15.8489,0.253024
1,25.1189,0.254184
1,39.8107,0.255487
1,63.0957,0.257306
1,100,0.258695
1.58489,0.01,0.250183
1.58489,0.0158489,0.250179
1.58489,0.0251189,0.250183
1.58489,0.0398107,0.250175
1.58489,0.0630957,0.250176
1.58489,0.1,0.250196
1.58489,0.158489,0.250189
1.58489,0.251189,0.25018
1.58489,0.398107,0.250162
1.58489,0.630957,0.250212
1.58489,1,0.250174
1.58489,1.58489,0.25011
1.58489,2.51189,0.250101
1.58489,3.98107,0.250332
1.58489,6.30957,0.249996
1.58489,10,0.250877
1.58489,15.8489,0.249984
1.58489,25.1189,0.249386
1.58489,39.8107,0.249817
1.58489,63.0957,0.249715
1.58489,100,0.251412
2.51189,0.01,0.25018
2.51189,0.0158489,0.250177
2.51189,0.0251189,0.250184
2.51189,0.0398107,0.250182
2.51189,0.0630957,0.25018
2.51189,0.1,0.250179
2.51189,0.158489,0.250188
2.51189,0.251189,0.250194
2.51189,0.398107,0.250181
2.51189,0.630957,0.250198
2.51189,1,0.250197
2.51189,1.58489,0.250195
2.51189,2.51189,0.250227
2.51189,3.98107,0.250222
2.51189,6.30957,0.250208
2.51189,10,0.250403
2.51189,15.8489,0.250076
2.51189,25.1189,0.250613
2.51189,39.8107,0.24923
2.51189,63.0957,0.249838
2.51189,100,0.250061
3.98107,0.01,0.250181
3.98107,0.0158489,0.25018
3.98107,0.0251189,0.250177
3.98107,0.0398107,0.250182
3.98107,0.0630957,0.250181
3.98107,0.1,0.250179
3.98107,0.158489,0.250183
3.98107,0.251189,0.250178
3.98107,0.398107,0.250177
3.98107,0.630957,0.250189
3.98107,1,0.250191
3.98107,1.58489,0.250191
3.98107,2.51189,0.250207
3.98107,3.98107,0.25018
3.98107,6.30957,0.250215
3.98107,10,0.250244
3.98107,15.8489,0.250287
3.98107,25.1189,0.249984
3.98107,39.8107,0.250502
3.98107,63.0957,0.250099
3.98107,100,0.250012
6.30957,0.01,0.250179
6.30957,0.0158489,0.250179
6.30957,0.0251189,0.250179
6.30957,0.0398107,0.250181
6.30957,0.0630957,0.250181
6.30957,0.1,0.25018
6.30957,0.158489,0.250179
6.30957,0.251189,0.25018
6.30957,0.398107,0.25018
6.30957,0.630957,0.250184
6.30957,1,0.250186
6.30957,1.58489,0.25018
6.30957,2.51189,0.250181
6.30957,3.98107,0.250186
6.30957,6.30957,0.250173
6.30957,10,0.250193
6.30957,15.8489,0.250255
6.30957,25.1189,0.250214
6.30957,39.8107,0.250245
6.30957,63.0957,0.250002
6.30957,100,0.250314
10,0.01,0.25018
10,0.0158489,0.250179
10,0.0251189,0.250179
10,0.0398107,0.250177
10,0.0630957,0.250181
10,0.1,0.250181
10,0.158489,0.250181
10,0.251189,0.25018
10,0.398107,0.25018
10,0.630957,0.250182
10,1,0.250181
10,1.58489,0.250184
10,2.51189,0.250188
10,3.98107,0.250185
10,6.30957,0.2502
10,10,0.250215
10,15.8489,0.250214
10,25.1189,0.250241
10,39.8107,0.250203
10,63.0957,0.250267
10,100,0.250246
