Active Velocity,Angular diffusion coefficient,Average energy per agent
0.630957,0.0630957,0.445272
0.630957,0.1,0.445738
0.630957,0.158489,0.447743
0.630957,0.251189,0.446598
0.630957,0.398107,0.451868
0.630957,0.630957,0.454276
0.630957,1,0.456966
0.630957,1.58489,0.465073
0.630957,2.51189,0.471773
0.630957,3.98107,0.481788
0.630957,6.30957,0.494001
0.630957,10,0.503443
0.630957,15.8489,0.51722
0.630957,25.1189,0.525251
0.630957,39.8107,0.535131
0.630957,63.0957,0.542
0.630957,100,0.542809
1,0.01,0.377802
1,0.0158489,0.377392
1,0.0251189,0.376688
1,0.0398107,0.374876
1,0.0630957,0.375263
1,0.1,0.436345
1,0.158489,0.456776
1,0.251189,0.470541
1,0.398107,0.465822
1,0.630957,0.468162
1,1,0.468102
1,1.58489,0.471488
1,2.51189,0.476101
1,3.98107,0.483553
1,6.30957,0.490984
1,10,0.499743
1,15.8489,0.510423
1,25.1189,0.517402
1,39.8107,0.524249
1,63.0957,0.527686
1,100,0.529811
1.58489,0.01,0.234677
1.58489,0.0158489,0.234611
1.58489,0.0251189,0.234622
1.58489,0.0398107,0.23401
1.58489,0.0630957,0.258836
1.58489,0.1,0.318922
1.58489,0.158489,0.376226
1.58489,0.251189,0.453577
1.58489,0.398107,0.501884
1.58489,0.630957,0.489279
1.58489,1,0.494379
1.58489,1.58489,0.492452
1.58489,2.51189,0.50017
1.58489,3.98107,0.50334
1.58489,6.30957,0.507756
1.58489,10,0.516291
1.58489,15.8489,0.524399
1.58489,25.1189,0.532354
1.58489,39.8107,0.537636
1.58489,63.0957,0.538905
1.58489,100,0.541995
2.51189,0.01,0.775205
2.51189,0.0158489,0.82188
2.51189,0.0251189,0.822025
2.51189,0.0398107,0.798567
2.51189,0.0630957,0.82209
2.51189,0.1,0.807137
2.51189,0.158489,0.685903
2.51189,0.251189,0.718358
2.51189,0.398107,0.699408
2.51189,0.630957,0.619761
2.51189,1,0.568746
2.51189,1.58489,0.55552
2.51189,2.51189,0.546757
2.51189,3.98107,0.55412
2.51189,6.30957,0.563875
2.51189,10,0.578149
2.51189,15.8489,0.594558
2.51189,25.1189,0.619311
2.51189,39.8107,0.622643
2.51189,63.0957,0.619904
2.51189,100,0.600849
3.98107,0.01,0
3.98107,0.0158489,0
3.98107,0.0251189,0
3.98107,0.0398107,0
3.98107,0.0630957,0
3.98107,0.1,0
3.98107,0.158489,0
3.98107,0.251189,0
3.98107,0.398107,0
3.98107,0.630957,0
3.98107,1,0
3.98107,1.58489,0
3.98107,2.51189,0
3.98107,3.98107,0
3.98107,6.30957,0
3.98107,10,0
3.98107,15.8489,0
3.98107,25.1189,0
3.98107,39.8107,0
3.98107,63.0957,0
3.98107,100,0
6.30957,0.01,0
6.30957,0.0158489,0
6.30957,0.0251189,0
6.30957,0.0398107,0
6.30957,0.0630957,0
6.30957,0.1,0
6.30957,0.158489,0
6.30957,0.251189,0
6.30957,0.398107,0
6.30957,0.630957,0
6.30957,1,0
6.30957,1.58489,0
6.30957,2.51189,0
6.30957,3.98107,0
6.30957,6.30957,0
6.30957,10,0
6.30957,15.8489,0
6.30957,25.1189,0
6.30957,39.8107,0
6.30957,63.0957,0
6.30957,100,0
10,0.01,0
10,0.0158489,0
10,0.0251189,0
10,0.0398107,0
10,0.0630957,0
10,0.1,0
10,0.158489,0
10,0.251189,0
10,0.398107,0
10,0.630957,0
10,1,0
10,1.58489,0
10,2.51189,0
10,3.98107,0
10,6.30957,0
10,10,0
10,15.8489,0
10,25.1189,0
10,39.8107,0
10,63.0957,0
10,100,0
