time,M=225,M=14400
560,1.4355555555555555,1.6621527777777778
570,1.4444444444444444,1.6601388888888888
580,1.448888888888889,1.653125
590,1.448888888888889,1.6390277777777778
600,1.4577777777777778,1.6111805555555556
610,1.4622222222222223,1.5720138888888888
620,1.4666666666666666,1.5165277777777777
630,1.4844444444444445,1.4520833333333334
640,1.4933333333333334,1.3808333333333334
650,1.5066666666666666,1.3134722222222222
660,1.5066666666666666,1.2479166666666666
670,1.52,1.1847222222222222
680,1.5244444444444445,1.1239583333333334
690,1.5244444444444445,1.074375
700,1.5244444444444445,1.0299305555555556
710,1.528888888888889,0.9984722222222222
720,1.528888888888889,0.9786805555555556
730,1.528888888888889,0.9653472222222222
740,1.5333333333333334,0.9590972222222223
750,1.5333333333333334,0.9563888888888888
760,1.5333333333333334,0.9557638888888889
770,1.5333333333333334,0.9629166666666666
780,1.5377777777777777,0.9942361111111111
790,1.5377777777777777,1.08625
800,1.5377777777777777,1.2624305555555555
810,1.5377777777777777,1.470625
820,1.5377777777777777,1.6480555555555556
830,1.5377777777777777,1.7675694444444445
840,1.5377777777777777,1.8393055555555555
850,1.5377777777777777,1.876111111111111
860,1.5377777777777777,1.8936805555555556
870,1.5377777777777777,1.8990277777777778
880,1.5377777777777777,1.9010416666666667
890,1.5377777777777777,1.9014583333333333
900,1.5377777777777777,1.9015277777777777
910,1.5333333333333334,1.9015277777777777
920,1.5333333333333334,1.9015277777777777
930,1.5333333333333334,1.9015277777777777
940,1.5244444444444445,1.9015277777777777
950,1.5244444444444445,1.9015277777777777
960,1.5244444444444445,1.9015277777777777
970,1.5244444444444445,1.9015277777777777
980,1.5155555555555555,1.9015277777777777
990,1.5022222222222221,1.9015277777777777
1000,1.488888888888889,1.9014583333333333
1010,1.4755555555555555,1.8984722222222221
1020,1.4444444444444444,1.8813194444444445
1030,1.4266666666666667,1.82875
1040,1.3911111111111112,1.7386805555555556
1050,1.3688888888888888,1.6359027777777777
1060,1.3377777777777777,1.529375
1070,1.32,1.4183333333333332
1080,1.3111111111111111,1.3093055555555555
1090,1.3022222222222222,1.2040972222222222
1100,1.3022222222222222,1.104375
1110,1.2933333333333332,1.0022916666666666
1120,1.2933333333333332,0.9053472222222222
1130,1.288888888888889,0.8111111111111111
1140,1.288888888888889,0.7235416666666666
1150,1.288888888888889,0.6488194444444444
1160,1.288888888888889,0.5897222222222223
1170,1.288888888888889,0.546875
1180,1.288888888888889,0.5238888888888888
1190,1.288888888888889,0.5120833333333333
1200,1.288888888888889,0.5084027777777778
1210,1.288888888888889,0.5159027777777778
1220,1.2933333333333332,0.5798611111111112
1230,1.3111111111111111,0.7821527777777778
1240,1.3155555555555556,1.0935416666666666
1250,1.3466666666666667,1.4436111111111112
1260,1.4,1.7611805555555555
1270,1.4533333333333334,1.9636805555555557
1280,1.5244444444444445,2.067013888888889
1290,1.5866666666666667,2.1065972222222222
1300,1.6355555555555557,2.1174305555555555
1310,1.68,2.12
1320,1.6888888888888889,2.120347222222222
1330,1.7066666666666668,2.120416666666667
1340,1.7066666666666668,2.120416666666667
1350,1.7066666666666668,2.120416666666667
1360,1.7066666666666668,2.120416666666667
1370,1.711111111111111,2.120416666666667
1380,1.711111111111111,2.120416666666667
1390,1.711111111111111,2.120416666666667
1400,1.711111111111111,2.120416666666667
1410,1.711111111111111,2.120416666666667
1420,1.711111111111111,2.120416666666667
1430,1.711111111111111,2.120416666666667
1440,1.711111111111111,2.113263888888889
1450,1.711111111111111,2.0639583333333333
1460,1.711111111111111,1.960763888888889
1470,1.711111111111111,1.8397916666666667
1480,1.711111111111111,1.7175694444444445
1490,1.711111111111111,1.6000694444444445
1500,1.711111111111111,1.4827777777777778
1510,1.711111111111111,1.3643055555555557
1520,1.68,1.2527083333333333
1530,1.6,1.1369444444444445
1540,1.5244444444444445,1.0279166666666666
1550,1.4266666666666667,0.9147916666666667
1560,1.3511111111111112,0.8102777777777778
1570,1.248888888888889,0.70625
1580,1.16,0.6077083333333333
1590,1.08,0.5172222222222222
1600,1.008888888888889,0.43180555555555555
1610,0.9688888888888889,0.35506944444444444
1620,0.9288888888888889,0.2916666666666667
1630,0.8844444444444445,0.24604166666666666
1640,0.8711111111111111,0.22166666666666668
1650,0.8622222222222222,0.21319444444444444
1660,0.8533333333333334,0.21409722222222222
1670,0.8488888888888889,0.24930555555555556
1680,0.8488888888888889,0.36875
1690,0.8488888888888889,0.6228472222222222
1700,0.8933333333333333,1.0375
1710,1.0977777777777777,1.537638888888889
1720,1.3733333333333333,1.9377777777777778
1730,1.5911111111111111,2.1776388888888887
1740,1.6933333333333334,2.2754166666666666
1750,1.7777777777777777,2.2979861111111113
1760,1.9155555555555555,2.3022916666666666
1770,1.9466666666666668,2.3027777777777776
1780,1.951111111111111,2.3027777777777776
1790,1.951111111111111,2.3027777777777776
1800,1.951111111111111,2.3027777777777776
1810,1.951111111111111,2.3027777777777776
1820,1.951111111111111,2.3027777777777776
1830,1.951111111111111,2.3027777777777776
1840,1.951111111111111,2.3027777777777776
1850,1.951111111111111,2.3027777777777776
1860,1.951111111111111,2.3027777777777776
1870,1.951111111111111,2.3027777777777776
1880,1.951111111111111,2.3027777777777776
1890,1.951111111111111,2.295138888888889
1900,1.951111111111111,2.243263888888889
1910,1.951111111111111,2.127291666666667
1920,1.951111111111111,1.9966666666666666
1930,1.9422222222222223,1.8561805555555555
1940,1.8844444444444444,1.717638888888889
1950,1.791111111111111,1.5859722222222221
1960,1.6933333333333334,1.4554166666666666
1970,1.5644444444444445,1.3356944444444445
1980,1.44,1.217638888888889
1990,1.3511111111111112,1.099375
2000,1.28,0.9868055555555556
2010,1.2177777777777778,0.8714583333333333
2020,1.1733333333333333,0.7664583333333334
2030,1.08,0.6651388888888888
2040,1.031111111111111,0.5639583333333333
2050,0.9377777777777778,0.4690972222222222
2060,0.8577777777777778,0.37145833333333333
2070,0.7555555555555555,0.2771527777777778
2080,0.6266666666666667,0.1942361111111111
2090,0.5288888888888889,0.11875
2100,0.47555555555555556,0.06902777777777777
2110,0.44,0.05138888888888889
2120,0.44,0.048125
2130,0.44,0.05305555555555556
2140,0.43555555555555553,0.07097222222222223
2150,0.4888888888888889,0.1226388888888889
2160,0.6488888888888888,0.2363888888888889
2170,0.9955555555555555,0.46708333333333335
2180,1.3955555555555557,0.8776388888888889
2190,1.8,1.43125
2200,2.017777777777778,1.9506944444444445
2210,2.151111111111111,2.261388888888889
2220,2.1911111111111112,2.3780555555555556
2230,2.1955555555555555,2.4252083333333334
2240,2.2044444444444444,2.4502083333333333
2250,2.2044444444444444,2.4619444444444443
2260,2.2044444444444444,2.4678472222222223
2270,2.2044444444444444,2.471041666666667
2280,2.2044444444444444,2.4724305555555555
2290,2.2044444444444444,2.473125
2300,2.2044444444444444,2.473333333333333
2310,2.2044444444444444,2.473333333333333
2320,2.2044444444444444,2.473333333333333
2330,2.2044444444444444,2.473333333333333
2340,2.2044444444444444,2.473333333333333
2350,2.2044444444444444,2.473333333333333
2360,2.2044444444444444,2.4722222222222223
2370,2.2,2.4388194444444444
2380,2.1244444444444444,2.359236111111111
2390,2.0044444444444443,2.266111111111111
2400,1.8755555555555556,2.1508333333333334
2410,1.768888888888889,2.029236111111111
2420,1.6044444444444443,1.8949305555555556
2430,1.4666666666666666,1.765763888888889
2440,1.3466666666666667,1.6344444444444444
2450,1.2044444444444444,1.4985416666666667
2460,1.1022222222222222,1.3654166666666667
2470,0.9688888888888889,1.2372916666666667
2480,0.8488888888888889,1.1131944444444444
2490,0.7377777777777778,0.9926388888888888
2500,0.6666666666666666,0.8753472222222223
2510,0.5866666666666667,0.7644444444444445
2520,0.4888888888888889,0.6530555555555555
2530,0.40444444444444444,0.5440972222222222
2540,0.3111111111111111,0.435625
2550,0.25333333333333335,0.32958333333333334
2560,0.2,0.2321527777777778
2570,0.17333333333333334,0.1486111111111111
2580,0.16,0.10118055555555555
2590,0.15555555555555556,0.074375
2600,0.16444444444444445,0.06118055555555556
2610,0.21777777777777776,0.05319444444444445
2620,0.38222222222222224,0.05708333333333333
2630,0.6844444444444444,0.07965277777777778
2640,1.1422222222222222,0.13006944444444443
2650,1.72,0.22972222222222222
2660,2.066666666666667,0.40493055555555557
2670,2.2266666666666666,0.6594444444444445
2680,2.2888888888888888,0.9788194444444445
2690,2.2977777777777777,1.3108333333333333
2700,2.2977777777777777,1.5952777777777778
2710,2.2977777777777777,1.7982638888888889
2720,2.2977777777777777,1.9364583333333334
2730,2.2977777777777777,2.034236111111111
2740,2.2977777777777777,2.090763888888889
2750,2.2977777777777777,2.1348611111111113
2760,2.2977777777777777,2.1724305555555556
2770,2.2977777777777777,2.1995138888888888
2780,2.2977777777777777,2.217013888888889
2790,2.2977777777777777,2.2288194444444445
2800,2.2977777777777777,2.2352777777777777
2810,2.2977777777777777,2.2379861111111112
2820,2.2977777777777777,2.23875
2830,2.2888888888888888,2.239027777777778
2840,2.2266666666666666,2.239027777777778
2850,2.08,2.239027777777778
2860,1.9777777777777779,2.2379166666666666
2870,1.8844444444444444,2.2304166666666667
2880,1.7822222222222222,2.200138888888889
2890,1.6622222222222223,2.141875
2900,1.5155555555555555,2.063263888888889
2910,1.32,1.9790277777777778
2920,1.2266666666666666,1.8822916666666667
2930,1.0888888888888888,1.7838888888888889
2940,0.96,1.6803472222222222
2950,0.8355555555555556,1.57
2960,0.7466666666666667,1.4597222222222221
2970,0.64,1.3464583333333333
2980,0.5288888888888889,1.2272916666666667
2990,0.4533333333333333,1.115763888888889
3000,0.35555555555555557,1.0047222222222223
3010,0.27111111111111114,0.8954166666666666
3020,0.19555555555555557,0.7902083333333333
3030,0.10222222222222223,0.6859722222222222
3040,0.04,0.591875
3050,0.017777777777777778,0.5022222222222222
3060,0.017777777777777778,0.41756944444444444
3070,0.013333333333333334,0.343125
3080,0.013333333333333334,0.2852777777777778
3090,0.017777777777777778,0.24729166666666666
3100,0.035555555555555556,0.22722222222222221
3110,0.09333333333333334,0.23770833333333333
3120,0.24,0.2929861111111111
3130,0.56,0.39875
3140,1.16,0.5597222222222222
3150,1.8488888888888888,0.7686111111111111
3160,2.328888888888889,1.0127083333333333
3170,2.5644444444444443,1.2590972222222223
3180,2.5955555555555554,1.486388888888889
3190,2.5955555555555554,1.655138888888889
3200,2.5955555555555554,1.7846527777777779
3210,2.5955555555555554,1.8660416666666666
3220,2.5955555555555554,1.924375
3230,2.5955555555555554,1.9713194444444444
3240,2.5955555555555554,2.00625
3250,2.5955555555555554,2.033611111111111
3260,2.5955555555555554,2.0499305555555556
3270,2.5955555555555554,2.061875
3280,2.5955555555555554,2.0685416666666665
3290,2.5955555555555554,2.0722222222222224
3300,2.5955555555555554,2.073472222222222
3310,2.5955555555555554,2.074027777777778
3320,2.5866666666666664,2.074097222222222
3330,2.4844444444444442,2.074097222222222
3340,2.3644444444444446,2.073958333333333
3350,2.1822222222222223,2.0725694444444445
3360,1.951111111111111,2.0650694444444446
3370,1.791111111111111,2.0394444444444444
