Active Velocity,Angular diffusion coefficient,Average energy per patch
0.398107,0.630957,0.372491
0.398107,1,0.402782
0.398107,1.58489,0.447435
0.398107,2.51189,0.495705
0.398107,3.98107,0.54772
0.398107,6.30957,0.621471
0.398107,10,0.705567
0.398107,15.8489,0.823948
0.398107,25.1189,0.967044
0.398107,39.8107,0.973654
0.398107,63.0957,0.969914
0.398107,100,0.999606
0.630957,0.01,0.250199
0.630957,0.0158489,0.250188
0.630957,0.0251189,0.250192
0.630957,0.0398107,0.254623
0.630957,0.0630957,0.271477
0.630957,0.1,0.280154
0.630957,0.158489,0.292057
0.630957,0.251189,0.304331
0.630957,0.398107,0.321957
0.630957,0.630957,0.341003
0.630957,1,0.363609
0.630957,1.58489,0.395149
0.630957,2.51189,0.429046
0.630957,3.98107,0.470369
0.630957,6.30957,0.518151
0.630957,10,0.571495
0.630957,15.8489,0.654719
0.630957,25.1189,0.726131
0.630957,39.8107,0.801003
0.630957,63.0957,0.87589
0.630957,100,0.892892
1,0.01,0.250184
1,0.0158489,0.250183
1,0.0251189,0.250185
1,0.0398107,0.25019
1,0.0630957,0.252639
1,0.1,0.289146
1,0.158489,0.307465
1,0.251189,0.324454
1,0.398107,0.334238
1,0.630957,0.348704
1,1,0.364996
1,1.58489,0.388023
1,2.51189,0.412365
1,3.98107,0.446448
1,6.30957,0.487121
1,10,0.528466
1,15.8489,0.581242
1,25.1189,0.629086
1,39.8107,0.685042
1,63.0957,0.719433
1,100,0.72901
1.58489,0.01,0.250186
1.58489,0.0158489,0.250177
1.58489,0.0251189,0.250187
1.58489,0.0398107,0.250176
1.58489,0.0630957,0.263753
1.58489,0.1,0.296408
1.58489,0.158489,0.329735
1.58489,0.251189,0.376691
1.58489,0.398107,0.411071
1.58489,0.630957,0.415721
1.58489,1,0.432988
1.58489,1.58489,0.44884
1.58489,2.51189,0.474018
1.58489,3.98107,0.501632
1.58489,6.30957,0.533893
1.58489,10,0.574838
1.58489,15.8489,0.617123
1.58489,25.1189,0.667043
1.58489,39.8107,0.711481
1.58489,63.0957,0.739202
1.58489,100,0.746392
2.51189,0.01,0.715487
2.51189,0.0158489,0.739197
2.51189,0.0251189,0.739197
2.51189,0.0398107,0.727339
2.51189,0.0630957,0.739831
2.51189,0.1,0.733269
2.51189,0.158489,0.673993
2.51189,0.251189,0.69474
2.51189,0.398107,0.691779
2.51189,0.630957,0.660694
2.51189,1,0.646947
2.51189,1.58489,0.656041
2.51189,2.51189,0.675011
2.51189,3.98107,0.700434
2.51189,6.30957,0.742073
2.51189,10,0.789231
2.51189,15.8489,0.843447
2.51189,25.1189,0.90921
2.51189,39.8107,0.96043
2.51189,63.0957,0.989932
2.51189,100,0.992827
3.98107,0.01,1
3.98107,0.0158489,1
3.98107,0.0251189,1
3.98107,0.0398107,1
3.98107,0.0630957,1
3.98107,0.1,1
3.98107,0.158489,1
3.98107,0.251189,1
3.98107,0.398107,1
3.98107,0.630957,1
3.98107,1,1
3.98107,1.58489,1
3.98107,2.51189,1
3.98107,3.98107,1
3.98107,6.30957,1
3.98107,10,1
3.98107,15.8489,1
3.98107,25.1189,1
3.98107,39.8107,1
3.98107,63.0957,1
3.98107,100,1
6.30957,0.01,1
6.30957,0.0158489,1
6.30957,0.0251189,1
6.30957,0.0398107,1
6.30957,0.0630957,1
6.30957,0.1,1
6.30957,0.158489,1
6.30957,0.251189,1
6.30957,0.398107,1
6.30957,0.630957,1
6.30957,1,1
6.30957,1.58489,1
6.30957,2.51189,1
6.30957,3.98107,1
6.30957,6.30957,1
6.30957,10,1
6.30957,15.8489,1
6.30957,25.1189,1
6.30957,39.8107,1
6.30957,63.0957,1
6.30957,100,1
10,0.01,1
10,0.0158489,1
10,0.0251189,1
10,0.0398107,1
10,0.0630957,1
10,0.1,1
10,0.158489,1
10,0.251189,1
10,0.398107,1
10,0.630957,1
10,1,1
10,1.58489,1
10,2.51189,1
10,3.98107,1
10,6.30957,1
10,10,1
10,15.8489,1
10,25.1189,1
10,39.8107,1
10,63.0957,1
10,100,1
